ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID
10100,30,95.5,1,2865.0,2003-01-06,SHIPPED,1,1,2003
10100,20,95.5,2,1910.0,2003-01-06,SHIPPED,1,1,2003
10101,15,120.0,1,1800.0,2003-01-09,CANCELLED,1,1,2003
10102,50,44.51,5,2225.5,2005-03-03,SHIPPED,1,3,2005
10103,23,100.0,9,2597.39,2004-09-30,SHIPPED,3,9,2004
10104,40,100.0,5,4472.0,2004-06-28,IN PROCESS,2,6,2004
10105,18,80.0,3,1440.0,2004-08-15,RESOLVED,3,8,2004
10106,10,150.0,2,1500.0,2005-02-10,ON HOLD,1,2,2005
10107,8,200.0,1,1600.0,2005-04-12,DISPUTED,2,4,2005
10108,12,75.0,4,900.0,2003-11-20,SHIPPED,4,11,2003
